what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1297180919953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297180929593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297180940109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297180940484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297180947531
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297180958265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297180965609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181034109
activated,editor,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui.manifestEditor",1297181039203
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297181047125
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297181050140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297181050421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181064125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181071171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181071265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181073171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181073500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181086968
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297181093640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181099843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181120609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181135984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297181354062
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1297181361062
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1297181361093
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1297181361218
