what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288225753765
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288225753968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288225755656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288228539921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288228540906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288233069687
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288233071437
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288233073078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288233093359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288238960968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288238961796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288295556796
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288295560531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288295568718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1288295720281
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288295751140
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288295760828
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288296011171
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288296014703
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288296021531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288296024000
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288296025093
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1288296026312
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288296039468
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1288296055796
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1288296087000
