what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865129562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865323625
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289865329359
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289865330156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289865340156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289865342296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867079515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867090250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289867091015
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289867093062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867101390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867102687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867146265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867149562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867151390
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867156203
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867157906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867187328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867188796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867245140
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867248640
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867256781
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867256953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867260359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867261796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867277140
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867278828
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867279609
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867279781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867282390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867283421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867295437
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867298609
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867298984
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867299140
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1289867301718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867302546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867303390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867322921
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867326171
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867327078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867329921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867336703
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867340265
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867341015
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867341187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867344640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867346140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867357640
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867359875
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867360859
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867361015
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1289867363609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867364296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867365093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867458718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867464375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867474671
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867490515
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867492390
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867492546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289867575046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867576656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867643390
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867646531
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867647187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289867650531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289867651781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289867654312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289867656234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867665796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867689421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867694796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289867700484
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289867703015
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289867718484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868025687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289868926031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289869887640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289869887828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289869889328
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289869935781
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289869936453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289869954140
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289869954375
