what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289949723437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289953692828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289953695062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290009479046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016853734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016854015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016854515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016855781
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290016860328
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1290016864437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1290016867109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290016868718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290016875109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290016875484
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290016876781
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290016878156
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1290016878781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016880296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016893781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290016898359
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290016906078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290016906406
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290016907484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016908390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016915812
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290016936453
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1290016940515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290016943953
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1290016955343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290016971562
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290016972718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290016973671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290017004031
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290017006328
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1290017008109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290017010078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290017032328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290017034015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290017034984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290017041875
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290017045046
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1290017045453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290017049968
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290017063000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1290017063734
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290017064781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290017066125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290017074734
