what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1289033698781
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1289033698968
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.4.v201002250945,"org.eclipse.datatools.modelbase.sql",1289033699015
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1289033699390
started,bundle,oracle.eclipse.tools.database.sqltools,3.1.0.201007221419,"oracle.eclipse.tools.database.sqltools",1289033699812
started,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core",1289033699828
started,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic",1289033699875
started,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.1.v201005130745,"org.eclipse.datatools.sqltools.sqleditor",1289033699953
started,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook",1289033700000
started,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql",1289033701750
started,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1289033701875
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033702500
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033702875
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033706859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033779968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033788390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033894828
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289033897750
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033898765
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033898984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033903031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033941578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033946343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033979546
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289033984906
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033986421
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1289033986843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289033995828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289034068328
